inventory code,Title,Maker,date,chart estimate type,chart standarized date,Production Place,Country (current),Continent,historic period/ polity,historical age,category,link
LAD 2014.003,Funerary Servant for Pharaoh Seti I,anonymous,ca. 1290 BCE,year range,-1290,"Valley of the Kings, ",Egypt,Africa,,ancient worlds,,
LAD 2022.005,"Ritual Vase, Called Gu",anonymous,1300-1200 BCE,year range,-1250,China,China,Asia,,ancient worlds,furniture,
LAD 2022.006,"Tripod Ritual Vase, Called Liding",anonymous, 1200-1100 BCE,year range,-1150,China,China,Asia,,ancient worlds,furniture,
LAD 2013.001,Axe Blade,anonymous,ca. 1000 BCE-700 BCE,year range,-850,Lorestan ,Iran,Asia,,ancient worlds,,
LAD 2019.037.001,Stater with Lion and Bull,anonymous,560-546 BCE,year range,-550,Sardis ,Turkey,Asia,,ancient worlds,numismatic,
LAD 2013.004,Sphinx,anonymous,600 BCE-500 BCE,year range,-550,Greece or Italy,Greece,Europe,,ancient worlds,furniture,
LAD 2013.002,Corinthian Helmet,anonymous,ca. 550 BCE,specific year,-550,Greece,Greece,Europe,,ancient worlds,,
LAD 2009.007,Amphora showing Herakles battling the Nemean Lion,Antimenes (painter-potter in Athens),ca. 520 BCE,,-520,Greece,Greece,Europe,,ancient worlds,ceramic,https://collection.louvreabudhabi.ae/en/object/amphora-showing-herakles-battling-the-nemean-lion-100004771
LAD 2019.037.011,Stater with a Boar,anonymous,500-450 BCE,year range,-475,Cyzicus,Turkey,Asia,,ancient worlds,numismatic,
LAD 2019.037.012,Stater with the god Hermes Kneeling,anonymous,460-400 BCE,year range,-430,Cyzicus,Turkey,,,ancient worlds,numismatic,
LAD 2019.037.006,"Stater with Tanit, goddess of Carthage",anonymous,350 BCE-320 BCE,year range,-330,Carthage ,Tunisia,Africa,Phoenician culture,ancient worlds,numismatic,
LAD 2019.037.002,"Stater of Philip II, King of Macedon",anonymous,323 BCE-315 BCE,year range,-320,Amphipolis ,Greece,Europe,,ancient worlds,numismatic,
LAD 2019.037.014,Tetradrachm with the Nymph Arethusa,,310-305 BCE,year range,-308,"Syracuse, Sicily, ",Italy,Europe,,ancient worlds,numismatic,
LAD 2019.037.007,Stater with king Ptolemy I Soter,anonymous,300-295 BCE,year range,-297,Alexandria ,Egypt,Africa,Ptolemy dinasty,ancient worlds,numismatic,
LAD 2019.037.015,"Aes Signatum, Currency-Bar with Two Roosters",anonymous,280-260 BCE,year range,-270,"Rome, Italy",Italy,Europe,,ancient worlds,metallic,
LAD 2019.037.005,"Trihemistater with Tanit, goddess of Carthage",anonymous,260 BCE,year range,-260,Carthage ,Tunisia,Africa,Phoenician culture,ancient worlds,numismatic,
LAD 2019.037.003,Celtic Coin Inspired by Coins of Philip II of Macedon,,300 BCE-200 BCE,year range,-250,Switzerland,Switzerland,Europe,,ancient worlds,numismatic,
LAD 2019.037.010,Stater of king Diodotus I (?),anonymous,250-235 BCE,year range,-240,"Balkh, Bactria",Afghanistan,Asia,,ancient worlds,numismatic,
LAD 2019.037.008,Octodrachm of King Ptolemy IV,anonymous,221 BCE-205 BCE,year range,-221,Alexandria ,Egypt,Africa,Ptolemy dinasty,ancient worlds,numismatic,
LAD 2009.021,"Reliquary in the Form of a Stupa, and its Contents",anonymous,ca. 20 CE-30 CE,year range,25,"Gandhara, Swat Valley (?)",Pakistan,Asia,Kushan empire,ancient worlds,metallic,https://lad-api.fluxguide.dev/uploads/medium/100318733__031da672-658f-4bf0-8183-a71341699f8b.jpg
LAD 2019.038.001,Half Coin Mold,anonymous,25-57 CE,year range,35,China,China,Asia,,ancient worlds,numismatic,
